id,country,capital,area
"4202","Malta","Valletta","320"
"19654","Moldova","Chisinau","33700"
"13630","Macedonia","Skopje","25333"
"17858","United Arab Emirates","Abu Dhabi","75581"
"14867","Australia","Canberra","7686850"
"8894","Burkina Faso","Ouagadougou","274200"
"11273","Vanuatu","Port-Vila","14760"
"14063","Mexico","Mexico City","1972550"
"14646","Costa Rica","San Jose","51100"
"3934","Antigua and Barbuda","Saint Johns","440"
"7988","North Korea","Pyongyang","120540"
"19782","Martinique","Fort-de-France","1100"
"6410","Cambodia","Phnom Penh","181040"
"17538","Congo","Brazzaville","342000"
"15699","Spain","Madrid","504750"
"7021","Andorra","Andorra la Vella","450"
"10745","Dominican Republic","Santo Domingo","48730"
"19566","Philippines","Manila","300000"
"3446","Liechtenstein","Vaduz","160"
"2870","Nauru","no official capital","21"
"1396","Saint Vincent and the Grenadines","Kingstown","340"
"17548","Brazil","Brasilia","8511965"
"13399","Marshall Islands","Majuro","181.3"
"20279","Czech Republic","Prague","78703"
"21243","Mauritius","Port Louis","1860"
"7782","Paraguay","Asuncion","406750"
"14510","Syria","Damascus","185180"
"10516","Canada","Ottawa","9976140"
"10665","Georgia","Tbilisi","69700"
"4903","Nepal","Kathmandu","140800"
"7641","Rwanda","Kigali","26340"
"16395","Falkland Islands","Stanley","12170"
"6170","Dominica","Roseau","750"
"12267","Burma","Rangoon","678500"
"4867","Nicaragua","Managua","129494"
"14076","Papua New Guinea","Port Moresby","461690"
"14350","Nigeria","Abuja","923770"
"18773","Djibouti","Djibouti","22000"
"3622","Guernsey","Saint Peter Port","194"
"18670","Yemen","Sanaa","527970"
"13806","Gibraltar","Gibraltar","6.5"
"6524","Grenada","Saint Georges","340"
"16051","Svalbard","Longyearbyen","62049"
"20143","Suriname","Paramaribo","163270"
"13001","Belize","Belmopan","22960"
"5783","Bangladesh","Dhaka","144000"
"3168","United Kingdom","London","244820"
"5886","Comoros","Moroni","2170"
"2399","Sweden","Stockholm","449964"
"9619","Vietnam","Hanoi","329560"
"2563","Lesotho","Maseru","30350"
"7180","Sao Tome and Principe","Sao Tome","960"
"10602","El Salvador","San Salvador","21040"
"8446","Gambia","Banjul","11300"
"19243","Ghana","Accra","238540"
"7526","Namibia","Windhoek","825418"
"927","Aruba","Oranjestad","193"
"3927","Saint Pierre and Miquelon","Saint-Pierre","242"
"11774","Germany","Berlin","356910"
"13686","Cuba","Havana","110860"
"2680","India","New Delhi","3287590"
"19206","Zaire","Kinshasa","2345410"
"15340","Botswana","Gaborone","600370"
"11817","Lithuania","Vilnius","65200"
"10829","Cameroon","Yaounde","475440"
"11229","Estonia","Tallinn","45100"
"17292","Somalia","Mogadishu","637660"
"19800","Haiti","Port-au-Prince","27750"
"4106","Turkey","Ankara","780580"
"13080","Kuwait","Kuwait","17820"
"568","Senegal","Dakar","196190"
"18587","Chile","Santiago","756950"
"10901","Anguilla","The Valley","91"
"15060","Tajikistan","Dushanbe","143100"
"2136","Cayman Islands","George Town","260"
"15818","Japan","Tokyo","377835"
"21085","South Africa","Pretoria","1219912"
"14248","Uzbekistan","Tashkent","447400"
"9700","Guadeloupe","Basse-Terre","1780"
"21497","Ethiopia","Addis Ababa","1127127"
"710","Guinea-Bissau","Bissau","36120"
"7295","Bermuda","Hamilton","50"
"6184","Slovenia","Ljubljana","20256"
"1694","Guam","Agana","541.3"
"17172","Jordan","Amman","89213"
"4003","Norway","Oslo","324220"
"19875","South Korea","Seoul","98480"
"8530","Virgin Islands","Charlotte Amalie","352"
"693","Laos","Vientiane","236800"
"1911","Serbia and Montenegro","Belgrade","102350"
"15674","Venezuela","Caracas","912050"
"11998","Algeria","Algiers","2381740"
"7952","Lebanon","Beirut","10400"
"11518","Niger","Niamey","1267000"
"771","Saint Kitts and Nevis","Basseterre","269"
"15182","Central African Republic","Bangui","622980"
"2118","Norfolk Island","Kingston","34.6"
"10816","Burundi","Bujumbura","27830"
"3803","New Zealand","Wellington","268680"
"11480","Faroe Islands","Torshavn","1400"
"8313","Israel","Jerusalem","20770"
"3874","Panama","Panama City","78200"
"17019","Western Samoa","Apia","2860"
"7240","Holy See","Vatican City","0.44"
"13581","Peru","Lima","1285220"
"15157","Madagascar","Antananarivo","587040"
"11923","Man","Douglas","588"
"20699","Gabon","Libreville","267670"
"8715","Kazakstan","Almaty","2717300"
"18401","Mongolia","Ulaanbaatar","1565000"
"11423","Saint Lucia","Castries","620"
"5817","Kyrgyzstan","Bishkek","198500"
"5972","Mayotte","Mamoutzou","375"
"8904","Guyana","Georgetown","214970"
"6618","Honduras","Tegucigalpa","112090"
"10987","Iran","Tehran","1648000"
"3019","Micronesia","Kolonia","702"
"20956","France","Paris","547030"
"6290","New Caledonia","Noumea","19060"
"7086","Saint Helena","Jamestown","410"
"9565","Northern Mariana Islands","Saipan","477"
"7336","Iraq","Baghdad","437072"
"15911","Christmas Island","The Settlement","135"
"11528","Zimbabwe","Harare","390580"
"17718","Thailand","Bangkok","514000"
"21312","Denmark","Copenhagen","43070"
"2543","Bolivia","La Paz","1098580"
"15515","Taiwan","Taipei","35980"
"17340","Cyprus","Nicosia","9250"
"2145","Sudan","Khartoum","2505810"
"7816","Poland","Warsaw","312683"
"5218","San Marino","San Marino","60"
"14278","Belgium","Brussels","30510"
"11359","Sri Lanka","Colombo","65610"
"18457","Greenland","Nuuk","2175600"
"18575","Russia","Moscow","17075200"
"11648","Angola","Luanda","1246700"
"13334","Maldives","Male","300"
"19283","Slovakia","Bratislava","48845"
