al,albert
ben,benjamin
chuck,charles
charlie,charles
dan,daniel
danny,daniel
dave,david
deb,deborah
debbie,deborah
beth,elizabeth
liz,elizabeth
lizzie,elizabeth
greg,gregory
janie,jane
jim,james
jen,jennifer
jenny,jennifer
joe,joseph
josh,joshua
matt,matthew
nate,nathanial
mike,michael
norm,norman
becky,rebecca
becca,rebecca
dick,richard
rich,richard
richie,richard
rick,richard
bob,robert
bobby,robert
rob,robert
robbie,robert
robby,robert
sam,samuel
sammy,samuel
tim,timothy
tony,anthony
tom,thomas
tommy,thomas
wes,wesley
bill,william
billy,william
will,william
